id;station
469;elbeuf-st-aubin
470;miramas
471;génolhac
472;aubenas-pl.-de-la-paix
473;chambourg-chopin
474;pessac
475;frohmuhl- (lavoir)
476;bricon(la poste)
477;st-emilion
478;toul
479;st-andré-le-gaz
480;romorantin-ba-g.r.
481;vannes
482;dol
483;basel-sbb
484;saales
485;le dorat
486;evreux
487;nancy-ville
488;brive-la-gaillarde
489;truyes-pl-du-souvenir
490;tonnerre
491;troyes
492;lyon-perrache
493;truyes-st-blaise
494;tarbes
495;mantes-la-jolie
496;lyon-st-paul-la-feuilée
497;st-gilles-croix-de-vie
498;mommenheim
499;royan
500;l'aigle
501;vézelise beauregard
502;chaumont-sur-tharonne
503;st-nazaire
504;port-boulet
505;la roche-sur-yon
506;pamiers
507;roanne-gare-routière
508;la chaux-de-fonds
509;ax-les-thermes
510;brioude-lycée-lafayette
511;coppet
512;albertville
513;nantes
514;clelles-mairie
515;remiremont
516;nevers-le-banlay
517;salbris
518;luchon
519;chinon
520;bitche-camp
521;liverdun
522;mauriac
523;comines (france)
524;limeray
525;st pol sur ternoise
526;le tréport-mers-les-b
527;le croisic
528;chedde
529;mende
530;lutterbach tram-train
531;vesoul
532;biganos-facture
533;bourg-en-bresse gare r
534;la verrière
535;st-brieuc
536;castelnaudary
537;st-jean-pied-de-port
538;brignais
539;rémilly
540;châteauroux-lycée-agric
541;callac
542;kruth
543;saverne-(ht-barr)
544;saint-claude
545;loudrefing
546;les arcs-draguignan
547;aix-en-provence
548;bois-d'oingt-centre
549;st-yrieix-la-perche
550;amiens
551;bagnoles- orne egl.mad.
552;roanne
553;st-pierre-le-moûtier
554;pau
555;boulogne ville
556;argenton-sur-creuse
557;fismes
558;bergerac
559;villers-les-pots
560;lyon-st-paul-quai-bondy
561;trouville-deauville
562;albens
563;nice-ville
564;le mont dore ski
565;sathonay-rillieux
566;coutances
567;vic-le-comte
568;blois-chambord
569;st-vit
570;st-pierre-de-chandieu-r
571;jeumont
572;vertaizon
573;angoulême
574;martigny-les-b-thiebaut
575;st-priest
576;cahors
577;etang
578;chartres
579;vernon-giverny
580;st-sulpice-sur-lèze
581;sélestat
582;ettendorf-pl,-de-l'ecol
583;laroche-migennes
584;rennes
585;st-germain-des-fossés
586;lille flandres
587;longages-noé
588;grenoble u.-gières
589;la roche-sur-foron
590;commentry
591;seurre
592;montargis-ot
593;st-just-sncf
594;charleroi sud
595;ste-marie/-ms-(-théâtre
596;hombourg (chapelle)
597;puyoô
598;perpignan
599;béziers
600;issoire
601;cosne-sur-loire
602;touet-de-l'escarène
603;crépy-en-valois
604;landerneau
605;gien
606;sospel
607;pierrelatte
608;pont-de-beauvoisin
609;bourges-gare-routière
610;joinville
611;munster
612;paris gare du nord
613;grenoble-gare-routière
614;vitry-le-françois
615;vitré
616;pont-st-vincent
617;persan-beaumont
618;champagnole-pe-victor
619;nevers
620;creutzwald g.r.
621;lannion
622;saarbrücken /sarrebruck
623;paray-le-monial
624;eguzon
625;guingamp
626;st-junien
627;lunéville
628;le lioran
629;hirson
630;auxonne
631;thiers
632;alençon
633;lisieux
634;ste-marie-sur-mines-maire
635;fécamp
636;aillevillers
637;luçay-le-male
638;neustadt (weinstr) hbf
639;niort
640;saillat-chassenon
641;villedieu (gare)
642;brioude
643;lozanne
644;meroux
645;compiègne
646;le mans
647;aix-les-bains-le-revard
648;macau
649;sarralbe centre
650;mondoubleau-rue-leroy
651;castelsarrasin
652;niederbronn
653;belfort-ville
654;muret
655;rumilly
656;st-dié-des-vosges
657;montreux-vieux
658;freiburg-breisgau
659;sarreguemines
660;langres-gendarmerie
661;objat
662;rouen-gare-routière
663;laon
664;cambrai ville
665;château-gaillard
666;dreux
667;landau-pfalz-hbf
668;f
669;marseille-blancarde
670;st-etienne-châteaucreux
671;laqueuille
672;contrexéville
673;neussargues
674;sarlat
675;sète
676;paris-gare-de-lyon
677;quimper
678;st-louis-57-incliné
679;thann
680;thionville
681;sedan-place-calonne
682;saint-léonard centre
683;plouaret-trégor
684;dunkerque
685;clelles-mens
686;molsheim
687;st-denis-près-martel
688;la chaise-dieu
689;damblain eglise
690;sarrebourg-abri-phalsbo
691;vauvert
692;dax
693;eymoutiers-vassiviere
694;champagnole
695;wissembourg
696;quillan
697;travers
698;hirson-ecoles
699;cercy-la-tour
700;cernay-(lycée)
701;vienne
702;paris-austerlitz
703;neuchâtel
704;lunéville (cité scolai)
705;port-de-piles
706;thonon-les-bains
707;gap
708;la ferté-sur-chiers
709;epinal
710;romorantin-lycée-de-f
711;bouzonville
712;berthelming-mairie
713;st-raphaël-valescure
714;guéret
715;clisson
716;nouzonville
717;st-sulpice (tarn)
718;jougne
719;lichtenberg-(eglise).
720;cormery
721;mont-de-marsan
722;oloron-ste-marie
723;châteauroux-charmilles
724;issoudun-jardin
725;conflans-jarny
726;buswiller-eglise
727;metz-ville
728;chamberry-jacob
729;courtalain-st-pellerin
730;routot-place-de-mairie
731;willer-sur-thur
732;chatillon-mail
733;chambéry-chal.-les-eaux
734;mullheim-baden-bf
735;st quentin
736;ribeauville-gare-routiè
737;annonay-gare-route
738;vif
739;yvetot
740;frasne
741;epernay
742;auch
743;orange
744;niedermodern/uberach
745;loches-lep
746;le grau-du-roi
747;cavaillon
748;wesserling
749;saverne
750;rosporden
751;rives
752;chauffailles-gambetta
753;saverne-(pl.-dragons)
754;lison
755;montbrison
756;tende
757;avallon
758;clamecy
759;châteauroux-ly-b-pascal
760;rethel
761;vendôme-villiers-s-loir
762;lons-le-saunier
763;metzeral
764;ambert
765;colmar
766;ettendorf-(angle-pont)
767;morhange
768;keskastel
769;champagne-ardenne
770;buzançais
771;calais ville
772;corbigny
773;flers
774;bourg-st-maurice
775;courtrai/kortrijk
776;aurillac
777;haguenau
778;châteauroux
779;maubeuge
780;les granges-narboz
781;lens
782;givors-ville
783;mauzé
784;le valdahon
785;faubourg-d'orléans
786;laon-gare-routière-poma
787;morcenx
788;moulins-sur-allier
789;hagondange
790;sisteron
791;valenciennes
792;charmes (vosges)
793;st-gervais-ch-lpa.
794;bruyères chanzy gare
795;la forest
796;cernay (haut-rhin)
797;delémont
798;vienne-gare-routière
799;digoin
800;st-florentin-vergigny
801;morlaix
802;château-du-loir
803;cherbourg
804;strasbourg
805;rodez
806;arras
807;neuilly-lès-dijon
808;tours lycee grandmont
809;chantonnay
810;creil
811;st-rambert-en-bugey
812;orléans
813;rambervillers (11 nov)
814;châteauroux gare rout.
815;châteaudun-lep-paulsen
816;autun
817;morez lycée
